signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,n_obs,r_squared,coefficient_value,t_stat,p_value
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,const,False,2902,0.012150493159880149,-0.06726444291567772,-0.586511648606372,0.5575317359251826
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,idiovol,False,2902,0.012150493159880149,0.10146130074560031,0.41098106451377364,0.6810864194333573
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,ill,False,2902,0.012150493159880149,389.15009412615,1.285261896183877,0.19870078063727747
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,maxret,False,2902,0.012150493159880149,-0.5054168424376639,-1.8514957787383288,0.06409826146695921
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,mom1m,False,2902,0.012150493159880149,-0.017090088051149355,-0.3584700839814656,0.719991551893532
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,mve,False,2902,0.012150493159880149,0.0037311417698635014,0.441619013378259,0.6587649229562929
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,retvol,False,2902,0.012150493159880149,1.9227723657115297,1.6668150856077386,0.09555117961440321
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,std_dolvol,False,2902,0.012150493159880149,0.034750840844548894,1.7417877519553608,0.08154559067093409
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,std_turn,False,2902,0.012150493159880149,-0.00018094932770047818,-0.32163787675379174,0.7477270458527258
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,turn,False,2902,0.012150493159880149,-0.0005026766421520957,-0.10845802158938365,0.9136323779465851
FEPS,fixed_x_obs,outside_signal_coverage,missing_plus_mar_signal,x_mar_filled,True,2902,0.012150493159880149,4.101629843195238e-05,0.0076182447788473995,0.9939215789068138
FEPS,augmented_signal_history,full,baseline_missing_only,FEPS_phase2_ever_observed_before,False,1436924,0.0012653017430490632,-0.0019100872105915195,-2.215037703173438,0.02675747674621244
FEPS,augmented_signal_history,full,baseline_missing_only,FEPS_phase2_lag1_observed,False,1436924,0.0012653017430490632,0.00034344110680321687,0.46564356058079964,0.6414706572807855
FEPS,augmented_signal_history,full,baseline_missing_only,FEPS_phase2_lag1_value,False,1436924,0.0012653017430490632,4.489300717556209e-07,1.259865809850504,0.2077177744018106
FEPS,augmented_signal_history,full,baseline_missing_only,FEPS_phase2_prev_observed_flag,False,1436924,0.0012653017430490632,0.000343440311145683,0.4656424817861474,0.6414714295989303
FEPS,augmented_signal_history,full,baseline_missing_only,FEPS_phase2_prior_missing_count,False,1436924,0.0012653017430490632,-3.7119745088253867e-05,-8.542721559084823,1.3109702030918919e-17
FEPS,augmented_signal_history,full,baseline_missing_only,age,False,1436924,0.0012653017430490632,0.00015466700524870855,9.516900421503644,1.7842138755629193e-21
FEPS,augmented_signal_history,full,baseline_missing_only,baspread,False,1436924,0.0012653017430490632,0.07326340518312986,3.4987946271073804,0.00046736641773137205
FEPS,augmented_signal_history,full,baseline_missing_only,beta,False,1436924,0.0012653017430490632,-0.001609963261287384,-4.486995392318354,7.223463623167672e-06
FEPS,augmented_signal_history,full,baseline_missing_only,bm,False,1436924,0.0012653017430490632,0.003696940571507722,8.581602620817295,9.356036674894287e-18
FEPS,augmented_signal_history,full,baseline_missing_only,const,False,1436924,0.0012653017430490632,0.03088123234648652,10.698634872968414,1.0328864874590739e-26
FEPS,augmented_signal_history,full,baseline_missing_only,idiovol,False,1436924,0.0012653017430490632,-0.0368555378951806,-4.018189412434715,5.8647046548026057e-05
FEPS,augmented_signal_history,full,baseline_missing_only,ill,False,1436924,0.0012653017430490632,154.31661019834323,6.2424283690302795,4.3082909724283085e-10
FEPS,augmented_signal_history,full,baseline_missing_only,maxret,False,1436924,0.0012653017430490632,-0.07257371550986147,-6.680941704223756,2.3741166215400718e-11
FEPS,augmented_signal_history,full,baseline_missing_only,missing_indicator,True,1436924,0.0012653017430490632,-1.2719260741233954e-05,-0.008874246056594634,0.9929194690174156
FEPS,augmented_signal_history,full,baseline_missing_only,mom1m,False,1436924,0.0012653017430490632,0.001954543451145773,0.9532116598788504,0.34048283985905226
FEPS,augmented_signal_history,full,baseline_missing_only,mve,False,1436924,0.0012653017430490632,-0.0015244296582537244,-10.186841522087404,2.2702029336003722e-24
FEPS,augmented_signal_history,full,baseline_missing_only,retvol,False,1436924,0.0012653017430490632,0.2249296688359265,5.774985888974196,7.69595345060646e-09
FEPS,augmented_signal_history,full,baseline_missing_only,std_dolvol,False,1436924,0.0012653017430490632,-0.002539742828418505,-3.5428999487008124,0.0003957528170909224
FEPS,augmented_signal_history,full,baseline_missing_only,std_turn,False,1436924,0.0012653017430490632,1.4833064687860413e-05,0.4847022887838273,0.6278875427091037
FEPS,augmented_signal_history,full,baseline_missing_only,turn,False,1436924,0.0012653017430490632,-0.0009372431494095335,-5.207563089172684,1.9133679322964562e-07
FEPS,augmented_signal_history,full,mar_signal_only,FEPS_phase2_ever_observed_before,False,1436924,0.001265353700508287,-0.0019092099617460715,-2.2154244619879964,0.02673094384341973
FEPS,augmented_signal_history,full,mar_signal_only,FEPS_phase2_lag1_observed,False,1436924,0.001265353700508287,0.0003408616641250569,1.0326173880247336,0.3017829876967334
FEPS,augmented_signal_history,full,mar_signal_only,FEPS_phase2_lag1_value,False,1436924,0.001265353700508287,-6.264540212162646e-06,-0.4899048036031092,0.6242012637315201
FEPS,augmented_signal_history,full,mar_signal_only,FEPS_phase2_prev_observed_flag,False,1436924,0.001265353700508287,0.0003408608070060025,1.0326148104512933,0.3017841944205193
FEPS,augmented_signal_history,full,mar_signal_only,FEPS_phase2_prior_missing_count,False,1436924,0.001265353700508287,-3.712370549275165e-05,-8.568709547885945,1.0465111996966865e-17
FEPS,augmented_signal_history,full,mar_signal_only,age,False,1436924,0.001265353700508287,0.0001546636551203306,9.513431747084033,1.844742730397556e-21
FEPS,augmented_signal_history,full,mar_signal_only,baspread,False,1436924,0.001265353700508287,0.07326792143257142,3.499012800413803,0.00046698416190763827
FEPS,augmented_signal_history,full,mar_signal_only,beta,False,1436924,0.001265353700508287,-0.0016098066378570934,-4.487889949958773,7.193206759990741e-06
FEPS,augmented_signal_history,full,mar_signal_only,bm,False,1436924,0.001265353700508287,0.0036968870380129255,8.584138254239605,9.151985505925876e-18
FEPS,augmented_signal_history,full,mar_signal_only,const,False,1436924,0.001265353700508287,0.030885557671844095,11.929446110624074,8.312473269134976e-33
FEPS,augmented_signal_history,full,mar_signal_only,idiovol,False,1436924,0.001265353700508287,-0.036857559921883824,-4.018239750648642,5.863452182885611e-05
FEPS,augmented_signal_history,full,mar_signal_only,ill,False,1436924,0.001265353700508287,154.3124478375446,6.243136374723682,4.2888264906918967e-10
FEPS,augmented_signal_history,full,mar_signal_only,maxret,False,1436924,0.001265353700508287,-0.07257297295924589,-6.681083666740351,2.3718175916862248e-11
FEPS,augmented_signal_history,full,mar_signal_only,mom1m,False,1436924,0.001265353700508287,0.0019542249061752495,0.9530692295582704,0.34055499533617484
FEPS,augmented_signal_history,full,mar_signal_only,mve,False,1436924,0.001265353700508287,-0.0015244305257423282,-10.180849678448887,2.414438532700435e-24
FEPS,augmented_signal_history,full,mar_signal_only,retvol,False,1436924,0.001265353700508287,0.22492536916900435,5.774892975402551,7.700201356871972e-09
FEPS,augmented_signal_history,full,mar_signal_only,std_dolvol,False,1436924,0.001265353700508287,-0.0025400440197445836,-3.545664972707971,0.0003916237650677314
FEPS,augmented_signal_history,full,mar_signal_only,std_turn,False,1436924,0.001265353700508287,1.4833719964765306e-05,0.48476457026015535,0.6278433575286171
FEPS,augmented_signal_history,full,mar_signal_only,turn,False,1436924,0.001265353700508287,-0.0009372014374107911,-5.207266487239748,1.9164277510199245e-07
FEPS,augmented_signal_history,full,mar_signal_only,x_mar_filled,True,1436924,0.001265353700508287,6.661894393376696e-06,0.5259180204093794,0.5989451677292723
FEPS,augmented_signal_history,full,missing_plus_mar_signal,FEPS_phase2_ever_observed_before,False,1436924,0.0012653538008429166,-0.0019087680075417408,-2.2134731346206404,0.02686504342200493
FEPS,augmented_signal_history,full,missing_plus_mar_signal,FEPS_phase2_lag1_observed,False,1436924,0.0012653538008429166,0.00033417926136432297,0.4531599300704097,0.650433583579714
FEPS,augmented_signal_history,full,missing_plus_mar_signal,FEPS_phase2_lag1_value,False,1436924,0.0012653538008429166,-6.266118733606091e-06,-0.4901509617309356,0.6240270785302976
FEPS,augmented_signal_history,full,missing_plus_mar_signal,FEPS_phase2_prev_observed_flag,False,1436924,0.0012653538008429166,0.0003341786681248499,0.4531591255987585,0.6504341628201178
FEPS,augmented_signal_history,full,missing_plus_mar_signal,FEPS_phase2_prior_missing_count,False,1436924,0.0012653538008429166,-3.712115660940336e-05,-8.543066376420393,1.3070627083078835e-17
FEPS,augmented_signal_history,full,missing_plus_mar_signal,age,False,1436924,0.0012653538008429166,0.00015466857706330665,9.516997451179142,1.7825492525275645e-21
FEPS,augmented_signal_history,full,missing_plus_mar_signal,baspread,False,1436924,0.0012653538008429166,0.07326798530036009,3.4990031126122996,0.00046700112946454784
FEPS,augmented_signal_history,full,missing_plus_mar_signal,beta,False,1436924,0.0012653538008429166,-0.0016099130344882358,-4.486852250112289,7.228316442482637e-06
FEPS,augmented_signal_history,full,missing_plus_mar_signal,bm,False,1436924,0.0012653538008429166,0.003696941096108155,8.581602328982502,9.356060416342399e-18
FEPS,augmented_signal_history,full,missing_plus_mar_signal,const,False,1436924,0.0012653538008429166,0.030899079660778324,10.70680536397933,9.456906214133489e-27
FEPS,augmented_signal_history,full,missing_plus_mar_signal,idiovol,False,1436924,0.0012653538008429166,-0.03685587551176201,-4.018226344611039,5.8637857155726925e-05
FEPS,augmented_signal_history,full,missing_plus_mar_signal,ill,False,1436924,0.0012653538008429166,154.31432048783344,6.2423320921209,4.3109444666707857e-10
FEPS,augmented_signal_history,full,missing_plus_mar_signal,maxret,False,1436924,0.0012653538008429166,-0.07257265125467331,-6.680841724639072,2.375737062600133e-11
FEPS,augmented_signal_history,full,missing_plus_mar_signal,missing_indicator,True,1436924,0.0012653538008429166,-1.4489400488772262e-05,-0.01010969905766952,0.9919337646107188
FEPS,augmented_signal_history,full,missing_plus_mar_signal,mom1m,False,1436924,0.0012653538008429166,0.0019542535724068567,0.9530676288656154,0.34055580630584537
FEPS,augmented_signal_history,full,missing_plus_mar_signal,mve,False,1436924,0.0012653538008429166,-0.0015244865194921303,-10.18730745880562,2.259351436847459e-24
FEPS,augmented_signal_history,full,missing_plus_mar_signal,retvol,False,1436924,0.0012653538008429166,0.22492529414351145,5.774868514173299,7.701320076433217e-09
FEPS,augmented_signal_history,full,missing_plus_mar_signal,std_dolvol,False,1436924,0.0012653538008429166,-0.002539850644468139,-3.543066791750667,0.000395502519165969
FEPS,augmented_signal_history,full,missing_plus_mar_signal,std_turn,False,1436924,0.0012653538008429166,1.4832506505647987e-05,0.48468284745795703,0.627901335502036
FEPS,augmented_signal_history,full,missing_plus_mar_signal,turn,False,1436924,0.0012653538008429166,-0.0009372036672485113,-5.20734373666972,1.9156303716387383e-07
FEPS,augmented_signal_history,full,missing_plus_mar_signal,x_mar_filled,True,1436924,0.0012653538008429166,6.663463366705745e-06,0.5261754675072307,0.5987662975458059
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,FEPS_phase2_ever_observed_before,False,1434023,0.0012642363007235868,-0.002134333344915934,-2.471208615857011,0.013465723930046889
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,FEPS_phase2_lag1_observed,False,1434023,0.0012642363007235868,0.00037885240025881226,0.5135440796512483,0.6075707849157177
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,FEPS_phase2_lag1_value,False,1434023,0.0012642363007235868,4.520917956668999e-07,1.2686584266351482,0.20456291607522425
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,FEPS_phase2_prev_observed_flag,False,1434023,0.0012642363007235868,0.0003788528524322316,0.5135446925635521,0.6075703562974971
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,FEPS_phase2_prior_missing_count,False,1434023,0.0012642363007235868,-3.722311538064912e-05,-8.563734799876139,1.0926901196225307e-17
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,age,False,1434023,0.0012642363007235868,0.00015596145677817432,9.601891846137377,7.849031133634197e-22
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,baspread,False,1434023,0.0012642363007235868,0.0770027480315658,3.6747150925637704,0.00023811497425900612
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,beta,False,1434023,0.0012642363007235868,-0.0016326497665688374,-4.551283715901247,5.3319590561876174e-06
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,bm,False,1434023,0.0012642363007235868,0.003701213134415941,8.590927979723547,8.626969870336805e-18
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,const,False,1434023,0.0012642363007235868,0.031187497686229977,10.802506842088063,3.349321395742481e-27
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,idiovol,False,1434023,0.0012642363007235868,-0.03711215392942794,-4.048928096909016,5.14527482548708e-05
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,ill,False,1434023,0.0012642363007235868,151.9627787527324,6.113135770013611,9.769218727103026e-10
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,maxret,False,1434023,0.0012642363007235868,-0.07045393862089037,-6.496527342221987,8.219518306349891e-11
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,missing_indicator,True,1434023,0.0012642363007235868,6.692002174036931e-05,0.04668401620784585,0.9627650696740124
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,mom1m,False,1434023,0.0012642363007235868,0.0019242654890606202,0.9385348303065045,0.3479696261197134
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,mve,False,1434023,0.0012642363007235868,-0.0015345605381974115,-10.258336971408985,1.0856019043213681e-24
FEPS,augmented_signal_history,within_signal_coverage,baseline_missing_only,retvol,False,1434023,0.0012642363007235868,0.21705468861855992,5.599134070314565,2.1542514828500393e-08
