signal,benchmark_type,sample_name,specification,coefficient,is_focus_regressor,month_count,mean_coefficient,t_stat,p_value,positive_month_share,coefficient_std,mean_cross_section_nobs,mean_cross_section_r2
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,mom1m,False,360,0.011242408999917694,2.7055795262116566,0.00681853198408291,0.5972222222222222,0.07495397385904763,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,mve,False,360,-0.0010708191876660125,-2.735677923431486,0.006225192250684383,0.4861111111111111,0.007097728164455256,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,retvol,False,360,-0.011271086406358719,-0.2292788893605465,0.8186521603312626,0.49444444444444446,0.8657727616824206,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,std_dolvol,False,360,-0.0035998374308388696,-2.390697334278932,0.016816409438264172,0.46111111111111114,0.034575290050123525,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,std_turn,False,360,0.00013456260338144406,2.6713765002315424,0.007554086431565444,0.5388888888888889,0.0009365478999861744,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,turn,False,360,-0.0012038256600333274,-3.5643770052102157,0.0003647214227157895,0.4,0.0073490541209064175,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,mar_signal_only,x_mar_filled,True,360,-0.00022602648495927352,-0.8038693859222069,0.42147241218213394,0.4888888888888889,0.004910283940803966,3984.1833333333334,0.05690529973122929
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,age,False,360,1.589899522076616e-05,0.5034098707689383,0.614676133173415,0.5305555555555556,0.000564314940866336,3984.1833333333334,0.05760782622943956
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,baspread,False,360,-0.06039784719156386,-1.218372499931958,0.22308245053934272,0.4,0.7629216938338608,3984.1833333333334,0.05760782622943956
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,beta,False,360,0.0008519609887227173,0.5626561186964298,0.5736690703644096,0.5166666666666667,0.0266575976497277,3984.1833333333334,0.05760782622943956
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,bm,False,360,0.0008656081366059948,0.7559899684814394,0.4496552102242364,0.5222222222222223,0.016399597397982104,3984.1833333333334,0.05760782622943956
AnalystRevision,fixed_x_obs,within_signal_coverage,missing_plus_mar_signal,const,False,360,0.02706269865903938,4.371239194790391,1.2354335898119583e-05,0.5805555555555556,0.10943702764529008,3984.1833333333334,0.05760782622943956
